number,name,status
694,Upload 2.0 API for Python Package Repositories,"Standards Track, Draft"
695,Type Parameter Syntax,"Standards Track, Final"
696,Type Defaults for Type Parameters,"Standards Track, Final"
697,Limited C API for Extending Opaque Types,"Standards Track, Final"
698,Override Decorator for Static Typing,"Standards Track, Final"
699,Remove private dict version field added in PEP 509,"Standards Track, Accepted"
700,Additional Fields for the Simple API for Package Indexes,"Standards Track, Final"
701,Syntactic formalization of f-strings,"Standards Track, Accepted"
702,Marking deprecations using the type system,"Standards Track, Final"
703,Making the Global Interpreter Lock Optional in CPython,"Standards Track, Accepted"
704,Require virtual environments by default for package installers,"Standards Track, Withdrawn"
705,TypedDict: Read-only items,"Standards Track, Final"
706,Filter for tarfile.extractall,"Standards Track, Final"
707,A simplified signature for __exit__ and __aexit__,"Standards Track, Rejected"
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,"Standards Track, Provisional"
709,Inlined comprehensions,"Standards Track, Final"
710,Recording the provenance of installed packages,"Standards Track, Draft"
711,PyBI: a standard format for distributing Python Binaries,"Standards Track, Draft"
712,Adding a “converter” parameter to dataclasses.field,"Standards Track, Rejected"
713,Callable Modules,"Standards Track, Rejected"
714,Rename dist-info-metadata in the Simple API,"Standards Track, Accepted"
715,Disabling bdist_egg distribution uploads on PyPI,"Standards Track, Final"
718,Subscriptable functions,"Standards Track, Draft"
719,Python 3.13 Release Schedule,"Informational, Active"
720,Cross-compiling Python packages,"Informational, Draft"
721,Using tarfile.data_filter for source distribution extraction,"Standards Track, Final"
722,Dependency specification for single-file scripts,"Standards Track, Rejected"
723,Inline script metadata,"Standards Track, Final"
724,Stricter Type Guards,"Standards Track, Withdrawn"
725,Specifying external dependencies in pyproject.toml,"Standards Track, Draft"
726,Module __setattr__ and __delattr__,"Standards Track, Rejected"
727,Documentation in Annotated Metadata,"Standards Track, Draft"
728,TypedDict with Typed Extra Items,"Standards Track, Draft"
729,Typing governance process,"Process, Active"
730,Adding iOS as a supported platform,"Standards Track, Final"
731,C API Working Group Charter,"Process, Active"
732,The Python Documentation Editorial Board,"Process, Active"
733,An Evaluation of Python’s Public C API,"Informational, Draft"
734,Multiple Interpreters in the Stdlib,"Standards Track, Deferred"
735,Dependency Groups in pyproject.toml,"Standards Track, Draft"
736,Shorthand syntax for keyword arguments at invocation,"Standards Track, Draft"
737,C API to format a type fully qualified name,"Standards Track, Final"
738,Adding Android as a supported platform,"Standards Track, Accepted"
739,Static description file for build details of Python installations,"Standards Track, Draft"
740,Index support for digital attestations,"Standards Track, Provisional"
741,Python Configuration C API,"Standards Track, Final"
742,Narrowing types with TypeIs,"Standards Track, Final"
743,Add Py_COMPAT_API_VERSION to the Python C API,"Standards Track, Draft"
744,JIT Compilation,"Informational, Draft"
745,Python 3.14 Release Schedule,"Informational, Active"
746,Type checking Annotated metadata,"Standards Track, Draft"
747,TypeExpr: Type Hint for a Type Expression,"Standards Track, Draft"
749,Implementing PEP 649,"Standards Track, Draft"
750,Tag Strings For Writing Domain-Specific Languages,"Standards Track, Draft"
751,A file format to list Python dependencies for installation reproducibility,"Standards Track, Draft"
752,Implicit namespaces for package repositories,"Standards Track, Draft"
754,IEEE 754 Floating Point Special Values,"Standards Track, Rejected"
755,Implicit namespace policy for PyPI,"Process, Draft"
789,Preventing task-cancellation bugs by limiting yield in async generators,"Standards Track, Draft"
801,Reserved,"Informational, Active"
2026,Calendar versioning for Python,"Process, Draft"
3000,Python 3000,"Process, Final"
3001,Procedure for reviewing and improving standard library modules,"Process, Withdrawn"
3002,Procedure for Backwards-Incompatible Changes,"Process, Final"
3003,Python Language Moratorium,"Process, Final"
3099,Things that will Not Change in Python 3000,"Process, Final"
3100,Miscellaneous Python 3.0 Plans,"Process, Final"
3101,Advanced String Formatting,"Standards Track, Final"
3102,Keyword-Only Arguments,"Standards Track, Final"
3103,A Switch/Case Statement,"Standards Track, Rejected"
3104,Access to Names in Outer Scopes,"Standards Track, Final"
3105,Make print a function,"Standards Track, Final"
3106,"Revamping dict.keys(), .values() and .items()","Standards Track, Final"
3107,Function Annotations,"Standards Track, Final"
3108,Standard Library Reorganization,"Standards Track, Final"
3109,Raising Exceptions in Python 3000,"Standards Track, Final"
3110,Catching Exceptions in Python 3000,"Standards Track, Final"
3111,Simple input built-in in Python 3000,"Standards Track, Final"
3112,Bytes literals in Python 3000,"Standards Track, Final"
3113,Removal of Tuple Parameter Unpacking,"Standards Track, Final"
3114,Renaming iterator.next() to iterator.__next__(),"Standards Track, Final"
3115,Metaclasses in Python 3000,"Standards Track, Final"
3116,New I/O,"Standards Track, Final"
3117,Postfix type declarations,"Standards Track, Rejected"
3118,Revising the buffer protocol,"Standards Track, Final"
3119,Introducing Abstract Base Classes,"Standards Track, Final"
3120,Using UTF-8 as the default source encoding,"Standards Track, Final"
3121,Extension Module Initialization and Finalization,"Standards Track, Final"
3122,Delineation of the main module,"Standards Track, Rejected"
3123,Making PyObject_HEAD conform to standard C,"Standards Track, Final"
3124,"Overloading, Generic Functions, Interfaces, and Adaptation","Standards Track, Deferred"
3125,Remove Backslash Continuation,"Standards Track, Rejected"
3126,Remove Implicit String Concatenation,"Standards Track, Rejected"
3127,Integer Literal Support and Syntax,"Standards Track, Final"
3128,BList: A Faster List-like Type,"Standards Track, Rejected"
3129,Class Decorators,"Standards Track, Final"
3130,Access to Current Module/Class/Function,"Standards Track, Rejected"
3131,Supporting Non-ASCII Identifiers,"Standards Track, Final"
3132,Extended Iterable Unpacking,"Standards Track, Final"
3133,Introducing Roles,"Standards Track, Rejected"
3134,Exception Chaining and Embedded Tracebacks,"Standards Track, Final"
3135,New Super,"Standards Track, Final"
3136,Labeled break and continue,"Standards Track, Rejected"
3137,Immutable Bytes and Mutable Buffer,"Standards Track, Final"
3138,String representation in Python 3000,"Standards Track, Final"
3139,Cleaning out sys and the “interpreter” module,"Standards Track, Rejected"
3140,"str(container) should call str(item), not repr(item)","Standards Track, Rejected"
3141,A Type Hierarchy for Numbers,"Standards Track, Final"
3142,Add a “while” clause to generator expressions,"Standards Track, Rejected"
3143,Standard daemon process library,"Standards Track, Deferred"
3144,IP Address Manipulation Library for the Python Standard Library,"Standards Track, Final"
3145,Asynchronous I/O For subprocess.Popen,"Standards Track, Withdrawn"
3146,Merging Unladen Swallow into CPython,"Standards Track, Withdrawn"
3147,PYC Repository Directories,"Standards Track, Final"
3148,futures - execute computations asynchronously,"Standards Track, Final"
3149,ABI version tagged .so files,"Standards Track, Final"
3150,Statement local namespaces (aka “given” clause),"Standards Track, Deferred"
3151,Reworking the OS and IO exception hierarchy,"Standards Track, Final"
3152,Cofunctions,"Standards Track, Rejected"
3153,Asynchronous IO support,"Standards Track, Superseded"
3154,Pickle protocol version 4,"Standards Track, Final"
3155,Qualified name for classes and functions,"Standards Track, Final"
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,"Standards Track, Final"
3333,Python Web Server Gateway Interface v1.0.1,"Informational, Final"
8000,Python Language Governance Proposal Overview,"Informational, Final"
8001,Python Governance Voting Process,"Process, Final"
8002,Open Source Governance Survey,"Informational, Final"
8010,The Technical Leader Governance Model,"Informational, Rejected"
8011,Python Governance Model Lead by Trio of Pythonistas,"Informational, Rejected"
8012,The Community Governance Model,"Informational, Rejected"
8013,The External Council Governance Model,"Informational, Rejected"
8014,The Commons Governance Model,"Informational, Rejected"
8015,Organization of the Python community,"Informational, Rejected"
8016,The Steering Council Model,"Informational, Accepted"
8100,January 2019 Steering Council election,"Informational, Final"
8101,2020 Term Steering Council election,"Informational, Final"
8102,2021 Term Steering Council election,"Informational, Final"
8103,2022 Term Steering Council election,"Informational, Final"
8104,2023 Term Steering Council election,"Informational, Final"
8105,2024 Term Steering Council election,"Informational, Final"
